nodeID  	 x-coordinate  	y-coordinate
6304	471	136
6303	468	147
6302	464	149
6301	465	149
6300	464	149
6299	464	117
6298	464	117
6297	464	119
6296	468	131
6295	426	166
6294	431	163
6293	454	81
6292	447	78
6291	486	134
6290	486	133
6289	414	116
6288	463	89
6287	464	88
6286	466	90
6285	464	88
6284	466	89
6283	465	89
6282	465	89
6281	463	88
6280	452	117
6279	454	116
6278	454	116
6277	455	101
6276	453	118
6275	452	118
6274	469	109
6273	465	93
6272	465	91
6271	462	91
6270	465	91
6269	465	91
6268	465	91
6267	464	91
6266	464	92
6265	463	97
6264	463	92
6263	463	91
6262	463	94
6261	466	91
6260	458	84
6259	463	83
6258	509	91
6257	510	91
6256	510	91
6255	510	91
6254	510	94
6253	510	91
6252	510	90
6251	511	88
6250	434	108
6249	431	105
6248	435	114
6247	430	105
6246	426	99
6245	432	94
6244	445	131
6243	445	131
6242	446	131
6241	444	132
6240	420	81
6239	449	126
6238	406	148
6237	401	165
6236	401	165
6235	436	187
6234	440	188
6233	442	189
6232	441	189
6231	441	189
6230	516	31
6229	516	31
6228	515	35
6227	515	35
6226	515	35
6225	517	33
6224	517	33
6223	515	35
6222	519	43
6221	519	42
6220	520	41
6219	520	41
6218	520	41
6217	512	27
6216	512	27
6215	513	27
6214	513	26
6213	512	24
6212	514	28
6211	514	28
6210	512	30
6209	512	26
6208	512	26
6207	512	27
6206	512	30
6205	515	30
6204	515	30
6203	464	41
6202	455	24
6201	457	29
6200	455	24
6199	462	36
6198	463	40
6197	461	41
6196	463	38
6195	462	41
6194	462	40
6193	462	43
6192	464	43
6191	463	43
6190	463	47
6189	463	48
6188	466	47
6187	466	48
6186	464	43
6185	460	31
6184	460	32
6183	474	33
6182	469	27
6181	474	29
6180	474	27
6179	469	26
6178	474	13
6177	475	8
6176	465	33
6175	469	17
6174	467	27
6173	468	25
6172	468	22
6171	514	50
6170	514	50
6169	512	49
6168	513	49
6167	514	50
6166	513	57
6165	516	50
6164	517	51
6163	517	51
6162	517	52
6161	520	53
6160	517	52
6159	520	58
6158	520	55
6157	520	55
6156	431	177
6155	430	175
6154	420	162
6153	419	159
6152	427	173
6151	419	168
6150	419	168
6149	421	167
6148	419	168
6147	418	169
6146	421	167
6145	421	168
6144	420	166
6143	418	167
6142	421	167
6141	421	167
6140	418	169
6139	419	100
6138	422	120
6137	418	117
6136	524	101
6135	530	105
