edgeID  	start_node_ID   	end_node_ID
1	Node_1	Node_2
2	Node_16	Node_18
3	Node_16	Node_3
4	Node_25	Node_12
5	Node_2	Node_16
6	Node_2	Node_4
7	Node_3	Node_15
8	Node_3	Node_6
9	Node_17	Node_7
10	Node_4	Node_14
11	Node_4	Node_13
12	Node_18	Node_13
13	Node_9	Node_25
14	Node_5	Node_19
15	Node_19	Node_12
16	Node_8	Node_19
17	Node_6	Node_8
18	Node_20	Node_11
19	Node_17	Node_10
20	Node_7	Node_12
21	Node_16	Node_9
22	Node_15	Node_20
23	Node_8	Node_13
24	Node_14	Node_8
25	Node_9	Node_19
26	Node_13	Node_7
27	Node_12	Node_20
28	Node_10	Node_6
29	Node_11	Node_1
30	Node_10	Node_3
31	Node_11	Node_5
32	Node_9	Node_7
33	Node_12	Node_2
34	Node_8	Node_4
35	Node_13	Node_19
36	Node_7	Node_4
37	Node_14	Node_3
38	Node_6	Node_11
39	Node_15	Node_5
40	Node_5	Node_1
