Distance: 227.163	Time: 12102ms	Start Node: 742	End Node: 5720
Node	x_coordinate	y_coordinate	distance to next node
742	261	475	4.12311
734	260	471	2.23607
717	258	470	1.41421
716	257	469	17
765	257	452	6
764	257	446	2.23607
766	258	444	4.12311
760	257	440	4
780	257	436	1.41421
777	258	435	2
787	258	433	14.8661
1032	253	419	48.0937
1007	256	371	1
1005	256	370	2.23607
1012	257	368	0
1009	257	368	15
1008	257	353	25
5890	264	329	3
5889	264	326	28.178
5667	277	301	9.43398
5664	282	293	2.82843
5663	284	291	0
5666	284	291	0
5665	284	291	2.82843
5653	286	289	9.43398
5652	291	281	1
5649	291	280	2.23607
5685	292	278	0
5686	292	278	2
5695	292	276	0
5697	292	276	1
5689	292	275	0
5687	292	275	1
5684	292	274	3.16228
5701	293	271	1
5703	293	270	1
5726	293	269	2.23607
5728	294	267	6.08276
5720	288	266	
