itemID	weight
101	33
102	21
103	38
104	26
105	56
106	17
107	45
108	43
109	40
110	26
111	15
112	43
113	28
114	20
115	23
116	23
117	18
118	15
119	52
120	50
121	16
122	55
123	34
124	32
125	12
126	10
127	50
128	16
129	43
130	55
131	53
132	35
133	27
134	35
135	35
136	57
137	17
138	54
139	21
140	15
141	46
142	32
143	53
144	22
145	55
146	36
147	36
148	56
149	41
150	11
151	13
152	11
153	27
154	58
155	36
156	55
157	41
158	18
159	54
160	24
161	32
162	14
163	28
164	51
165	13
166	42
167	32
168	22
169	29
170	57
171	48
172	21
173	36
174	17
175	16
176	43
177	27
178	34
179	35
180	30
181	51
182	10
183	17
184	51
185	52
186	52
187	11
188	33
189	49
190	21
191	27
192	50
193	32
194	46
195	38
196	15
197	37
198	42
199	28
200	57
