Input File: BinPacking_1000.txt Bin Capacity: 1000 algorithm type: First Fit Decreasing, Last Two Fit # of Bin: 61 Time: 36196ms
Bin #1: 10, 1000
315, 109
219, 109
1098, 109
254, 109
853, 109
748, 109
912, 109
827, 109
730, 109
545, 19
Bin #2: 10, 1000
690, 109
816, 109
122, 109
528, 109
347, 108
920, 108
551, 108
986, 108
946, 108
220, 24
Bin #3: 10, 1000
845, 108
889, 108
1040, 108
155, 108
678, 108
608, 107
754, 107
448, 107
533, 107
336, 32
Bin #4: 10, 1000
280, 107
429, 106
486, 106
864, 106
443, 106
353, 106
133, 106
380, 106
614, 105
200, 46
Bin #5: 10, 1000
654, 105
616, 105
275, 105
127, 105
972, 105
340, 105
164, 105
321, 104
259, 104
224, 57
Bin #6: 10, 1000
619, 104
264, 104
377, 104
335, 104
732, 104
686, 104
314, 104
493, 103
419, 103
965, 66
Bin #7: 10, 1000
532, 103
546, 103
242, 103
482, 103
858, 103
904, 103
464, 103
896, 103
974, 103
529, 73
Bin #8: 10, 1000
1053, 103
1052, 103
884, 103
943, 102
288, 102
837, 102
822, 102
605, 102
812, 102
841, 79
Bin #9: 10, 1000
112, 102
319, 102
1002, 102
693, 102
449, 102
870, 102
576, 102
1015, 102
187, 101
917, 83
Bin #10: 10, 1000
337, 101
877, 101
642, 101
471, 101
918, 101
1025, 101
249, 101
136, 101
928, 101
413, 91
Bin #11: 10, 1000
846, 101
379, 101
420, 101
932, 100
586, 100
158, 100
246, 100
931, 100
1085, 100
941, 97
Bin #12: 11, 1000
118, 100
856, 100
356, 100
489, 100
651, 100
306, 100
632, 99
663, 99
208, 99
1010, 93
442, 10
Bin #13: 11, 1000
244, 99
405, 99
411, 99
887, 99
650, 99
305, 99
431, 99
476, 99
760, 98
515, 98
395, 12
Bin #14: 11, 1000
692, 98
517, 98
722, 98
190, 98
243, 98
415, 97
222, 97
233, 97
627, 97
1056, 97
906, 25
Bin #15: 11, 1000
113, 97
935, 97
241, 97
150, 97
1030, 97
670, 96
257, 96
1066, 96
834, 96
801, 96
915, 35
Bin #16: 11, 1000
868, 96
1055, 96
240, 95
840, 95
828, 95
890, 95
156, 95
592, 95
329, 95
424, 95
665, 48
Bin #17: 11, 1000
487, 95
384, 95
346, 95
349, 94
398, 94
360, 94
407, 94
126, 93
1008, 93
348, 93
128, 60
